date,Palu,isPartial
2020-07-05,2,False
2020-07-12,2,False
2020-07-19,2,False
2020-07-26,2,False
2020-08-02,2,False
2020-08-09,2,False
2020-08-16,2,False
2020-08-23,2,False
2020-08-30,2,False
2020-09-06,3,False
2020-09-13,2,False
2020-09-20,2,False
2020-09-27,3,False
2020-10-04,3,False
2020-10-11,2,False
2020-10-18,2,False
2020-10-25,2,False
2020-11-01,2,False
2020-11-08,2,False
2020-11-15,2,False
2020-11-22,2,False
2020-11-29,3,False
2020-12-06,3,False
2020-12-13,2,False
2020-12-20,2,False
2020-12-27,2,False
2021-01-03,2,False
2021-01-10,2,False
2021-01-17,2,False
2021-01-24,2,False
2021-01-31,2,False
2021-02-07,2,False
2021-02-14,3,False
2021-02-21,2,False
2021-02-28,2,False
2021-03-07,2,False
2021-03-14,2,False
2021-03-21,2,False
2021-03-28,2,False
2021-04-04,2,False
2021-04-11,3,False
2021-04-18,2,False
2021-04-25,2,False
2021-05-02,2,False
2021-05-09,2,False
2021-05-16,2,False
2021-05-23,2,False
2021-05-30,2,False
2021-06-06,2,False
2021-06-13,2,False
2021-06-20,2,False
2021-06-27,2,False
2021-07-04,2,False
2021-07-11,2,False
2021-07-18,2,False
2021-07-25,2,False
2021-08-01,2,False
2021-08-08,2,False
2021-08-15,2,False
2021-08-22,2,False
2021-08-29,2,False
2021-09-05,3,False
2021-09-12,2,False
2021-09-19,2,False
2021-09-26,2,False
2021-10-03,2,False
2021-10-10,2,False
2021-10-17,2,False
2021-10-24,2,False
2021-10-31,2,False
2021-11-07,2,False
2021-11-14,2,True
